,,,,,,,,,,,,,,,,,Dalam ribuan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BEBEK ,DP ,Bayar ,ANGSURAN ,,,,,,,MATIC ,DP ,Bayar ,ANGSURAN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EM1 e Plus - CHARGER,4.700,3.200,4.430,2.584,2.237,1.990,  - ,  - ,,,7.900,6.100,7.179,4.252,3.694,3.321,3.204,2.931,,,,,,,,,,,,,,,,,,,,,,,,,
,46.621.000,4.800,3.300,4.420,2.578,2.232,1.986,  - ,  - ,,CBR 250 STD - MH ,8.150,6.350,7.595,4.499,3.909,3.513,3.390,3.101 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.900,3.400,4.410,2.572,2.227,1.982,  - ,  - ,,81.020.000,8.300,6.500,7.580,4.490,3.901,3.507,3.383,3.095,,,,,,,,,,,,,,,,,,,,,,,,,
,ICON e,2.850,1.350,2.771,1.641,1.425,1.281,  - ,  - ,,,8.400,6.600,7.570,4.484,3.896,3.502,3.379,3.091,,,,,,,,,,,,,,,,,,,,,,,,,
,28.147.000,2.900,1.400,2.766,1.638,1.422,1.278,  - ,  - ,,CBR 250 ABS - BL,8.850,7.050,8.275,4.902,4.259,3.828,3.694,3.379 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.000,1.500,2.756,1.632,1.417,1.274,  - ,  - ,,88.430.000,9.000,7.200,8.260,4.893,4.251,3.822,3.687,3.373,,,,,,,,,,,,,,,,,,,,,,,,,
,CUV e,5.500,4.000,5.194,3.076,2.672,2.402,  - ,  - ,,,9.100,7.300,8.250,4.888,4.246,3.817,3.683,3.369,,,,,,,,,,,,,,,,,,,,,,,,,
,54.693.000,5.600,4.100,5.184,3.071,2.667,2.398,  - ,  - ,,CBR 250 SP QS - AR,9.250,7.450,8.646,5.121,4.449,4.000,3.859,3.530 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.700,4.200,5.174,3.065,2.662,2.393,  - ,  - ,,92.480.000,9.400,7.600,8.631,5.113,4.442,3.993,3.852,3.524,,,,,,,,,,,,,,,,,,,,,,,,,
,CUV e Roadsync,6.000,4.500,5.671,3.359,2.918,2.623,  - ,  - ,,,9.500,7.700,8.621,5.107,4.437,3.988,3.848,3.520,,,,,,,,,,,,,,,,,,,,,,,,,
